APN,Month,waterUse_m3Day
W0001,1,0.744590147
W0001,2,0.62459265
W0001,3,0.720742064
W0001,4,0.696893981
W0001,5,1.405144192
W0001,6,2.341654626
W0001,7,3.707052013
W0001,8,3.035520279
W0001,9,2.272003082
W0001,10,1.301045417
W0001,11,0.696893981
W0001,12,0.720742064
W0002,1,0.744590147
W0002,2,0.62459265
W0002,3,0.720742064
W0002,4,0.696893981
W0002,5,1.405144192
W0002,6,2.341654626
W0002,7,3.707052013
W0002,8,3.035520279
W0002,9,2.272381623
W0002,10,1.301045417
W0002,11,0.696893981
W0002,12,0.720742064
W0003,1,0.744590147
W0003,2,0.62459265
W0003,3,0.720742064
W0003,4,0.696893981
W0003,5,1.405144192
W0003,6,2.341654626
W0003,7,3.707052013
W0003,8,3.035520279
W0003,9,2.272381623
W0003,10,1.301045417
W0003,11,0.696893981
W0003,12,0.720742064
W0004,1,0.744590147
W0004,2,0.62459265
W0004,3,0.720742064
W0004,4,0.696893981
W0004,5,1.405144192
W0004,6,2.341654626
W0004,7,3.707052013
W0004,8,3.035520279
W0004,9,2.272381623
W0004,10,1.301045417
W0004,11,0.696893981
W0004,12,0.720742064
W0005,1,0.744590147
W0005,2,0.62459265
W0005,3,0.720742064
W0005,4,0.696893981
W0005,5,1.405144192
W0005,6,2.341654626
W0005,7,3.707052013
W0005,8,3.035520279
W0005,9,2.272381623
W0005,10,1.301045417
W0005,11,0.696893981
W0005,12,0.720742064
W0006,1,0.372484344
W0006,2,0.312296325
W0006,3,0.360371032
W0006,4,0.34825772
W0006,5,0.702572096
W0006,6,1.170827313
W0006,7,1.853336736
W0006,8,1.517570869
W0006,9,1.136001541
W0006,10,0.650333438
W0006,11,0.34825772
W0006,12,0.360371032
W0007,1,0.372484344
W0007,2,0.312296325
W0007,3,0.360371032
W0007,4,0.34825772
W0007,5,0.702572096
W0007,6,1.170827313
W0007,7,1.853336736
W0007,8,1.517570869
W0007,9,1.136001541
W0007,10,0.650333438
W0007,11,0.34825772
W0007,12,0.360371032
W0008,1,0.186242172
W0008,2,0.156337433
W0008,3,0.180185516
W0008,4,0.17412886
W0008,5,0.351286048
W0008,6,0.585602927
W0008,7,0.926668368
W0008,8,0.758974705
W0008,9,0.568190041
W0008,10,0.325166719
W0008,11,0.17412886
W0008,12,0.180185516
W0009,1,0.186242172
W0009,2,0.156337433
W0009,3,0.180185516
W0009,4,0.17412886
W0009,5,0.351286048
W0009,6,0.585602927
W0009,7,0.926668368
W0009,8,0.758974705
W0009,9,0.568190041
W0009,10,0.325166719
W0009,11,0.17412886
W0009,12,0.180185516
W0010,1,0.186242172
W0010,2,0.156337433
W0010,3,0.180185516
W0010,4,0.17412886
W0010,5,0.351286048
W0010,6,0.585602927
W0010,7,0.926668368
W0010,8,0.758974705
W0010,9,0.568190041
W0010,10,0.325166719
W0010,11,0.17412886
W0010,12,0.180185516
W0011,1,0.186242172
W0011,2,0.156337433
W0011,3,0.180185516
W0011,4,0.17412886
W0011,5,0.351286048
W0011,6,0.585602927
W0011,7,0.926668368
W0011,8,0.758974705
W0011,9,0.568190041
W0011,10,0.325166719
W0011,11,0.17412886
W0011,12,0.180185516
W0012,1,0.372484344
W0012,2,0.312296325
W0012,3,0.360371032
W0012,4,0.34825772
W0012,5,0.702572096
W0012,6,1.170827313
W0012,7,1.853336736
W0012,8,1.517570869
W0012,9,1.136001541
W0012,10,0.650333438
W0012,11,0.34825772
W0012,12,0.360371032
W0013,1,0.372484344
W0013,2,0.312296325
W0013,3,0.360371032
W0013,4,0.34825772
W0013,5,0.702572096
W0013,6,1.170827313
W0013,7,1.853336736
W0013,8,1.517570869
W0013,9,1.136001541
W0013,10,0.650333438
W0013,11,0.34825772
W0013,12,0.360371032
W0014,1,0.744590147
W0014,2,0.62459265
W0014,3,0.720742064
W0014,4,0.696893981
W0014,5,1.405144192
W0014,6,2.341654626
W0014,7,3.707052013
W0014,8,3.035520279
W0014,9,2.272381623
W0014,10,1.301045417
W0014,11,0.696893981
W0014,12,0.720742064
W0015,1,0.744590147
W0015,2,0.62459265
W0015,3,0.720742064
W0015,4,0.696893981
W0015,5,1.405144192
W0015,6,2.341654626
W0015,7,3.707052013
W0015,8,3.035520279
W0015,9,2.272381623
W0015,10,1.301045417
W0015,11,0.696893981
W0015,12,0.720742064
W0016,1,0.744590147
W0016,2,0.62459265
W0016,3,0.720742064
W0016,4,0.696893981
W0016,5,1.405144192
W0016,6,2.341654626
W0016,7,3.707052013
W0016,8,3.035520279
