reach_id,complete_season_count,first_complete_dry_season_year,last_complete_dry_season_year,routed_unimpaired_streamflow_volume_m3,routed_pumped_streamflow_volume_m3,routed_streamflow_depletion_volume_m3,integrated_routed_streamflow_depletion_fraction_pct,median_annual_routed_depletion_fraction_pct,maximum_annual_routed_depletion_fraction_pct,worst_dry_season_year_by_fraction,total_routed_pumped_near_zero_flow_days,total_pumping_created_near_zero_flow_days,total_days_with_at_least_50pct_depletion,total_days_with_at_least_90pct_depletion,minimum_annual_7day_pumped_flow_m3d,minimum_annual_30day_pumped_flow_m3d,downstream_reach_id,is_outlet_reach,stream_node_count,reach_length_m,incremental_area_m2,upstream_area_m2,overall_depletion_volume_rank,overall_depletion_fraction_rank
1,13,2011,2023,432451.55397704453,303350.16382341465,129101.39015363003,29.853376399355707,29.702085873057854,99.99999999999558,2021,192,192,645,220,0.0,2.2500186434545945e-13,38.0,False,12,746.272418510985,421789.3896951097,421789.3896951097,17,5
2,13,2011,2023,5467.8930981895155,4235.0313489077835,1232.8617492817325,22.547290650030224,52.81705021150509,99.99999999989406,2011,1907,35,57,36,0.0,1.185142611854382e-16,22.0,False,4,241.93580558405597,451917.20762117615,451917.20762117615,39,15
3,13,2011,2023,475393.8886534705,416884.14200663246,58509.746646838066,12.3076354247136,11.781864331416587,99.23968225261079,2021,149,149,153,149,0.0,1.0332105786846935e-14,23.0,False,11,655.5258419543384,891281.1523157916,891281.1523157916,23,35
4,13,2011,2023,84278.54952740824,50996.23247414497,33282.317053263236,39.490851752781396,42.81476693808291,85.19641846370617,2020,563,410,1289,447,0.0,5.402345237826012e-14,31.0,False,7,412.6236419737836,291235.53168042,291235.53168042,27,2
5,13,2011,2023,315231.9534391612,243271.08024825895,71960.87319090223,22.827912083725504,22.08824319647915,99.99999999999166,2021,159,159,475,210,8.709519790581129e-14,2.7703230635197005e-13,32.0,False,12,683.5244610776874,399193.5287079231,399193.5287079231,20,14
6,13,2011,2023,75447.64495101194,50528.950271443595,24918.69467956834,33.02779655448227,37.82706700846262,80.78358238734408,2022,904,751,1221,790,0.0,0.0,24.0,False,8,442.9416076497891,444385.2526979965,444385.2526979965,29,3
7,13,2011,2023,82501.95542154954,67794.76960886618,14707.185812683363,17.826469369769434,17.761585841690426,33.394586344517684,2022,153,0,118,0,0.0,1.0606879596540518e-16,26.0,False,3,191.9259536664315,266129.0193512085,266129.0193512085,34,30
8,13,2011,2023,49555.719975275184,45142.62419449887,4413.0957807763025,8.905320683420857,10.448500063679681,28.79217154811457,2022,726,137,217,92,0.0,0.0,29.0,False,4,221.47080382426637,256086.4152742944,256086.4152742944,37,39
9,13,2011,2023,83191.75774675781,62793.542182466954,20398.215564290866,24.519515053864616,23.700512072586562,99.99999999999875,2021,153,153,445,161,0.0,2.5259388022975698e-14,24.0,False,16,926.2333821795478,728088.8290157933,728088.8290157933,31,11
10,13,2011,2023,270283.3267778706,225336.01835718128,44947.308420689274,16.629700750142362,15.0023837898517,90.41162954316492,2021,115,115,203,117,0.0,3.0052182550274096e-14,23.0,False,3,191.73267478750427,286214.23091195483,286214.23091195483,25,31
11,13,2011,2023,482725.1714498503,341783.42664860614,140941.74480124423,29.19709870896726,29.56128836552105,78.57715109897923,2020,429,276,904,337,0.0,9.947598300641402e-15,34.0,False,46,2573.649529595932,1749923.8448572643,1749923.8448572643,15,6
12,13,2011,2023,85465.71103305602,68535.98336200383,16929.727671052213,19.808795207360074,20.55226608473467,79.7328393427886,2021,94,94,122,89,2.1174400001760702e-14,6.547480309617385e-14,21.0,False,5,250.04925958719105,283703.5808656616,283703.5808656616,33,24
13,13,2011,2023,23024.75149519981,18719.925919464204,4304.8255757356,18.69651264915093,21.107897697605374,29.656820295679836,2020,596,200,3,0,7.876832418758175e-07,1.0875494473669432e-06,22.0,False,1,50.00985191669315,263618.3671985846,263618.3671985846,38,28
14,13,2011,2023,66095.0067206794,55564.44897282477,10530.557747854638,15.9324558243216,17.967989800972827,88.38287460902922,2021,123,123,151,114,0.0,1.0380893392125026e-14,25.0,False,3,171.26767302837195,286214.2295021044,286214.2295021044,36,33
15,13,2011,2023,115965.25103574146,95069.01971024141,20896.23132550005,18.019390411235914,17.880287538700344,98.86558639590874,2021,153,153,231,148,0.0,4.304817023193197e-14,21.0,False,3,171.26767302837195,303788.7854001284,303788.7854001284,30,29
16,13,2011,2023,127773.34166470118,113841.86980014718,13931.471864554002,10.903269557677012,11.991617939383449,41.16466655367126,2022,396,135,275,133,0.0,0.0,30.0,False,15,959.243210574303,728088.830096841,728088.830096841,35,36
17,13,2011,2023,1431425.7996777215,1289772.8084155614,141652.99126215978,9.895936715270345,8.656854375354387,85.77695812552031,2021,99,99,141,107,0.0,0.0,35.0,False,31,1696.2663260597874,1323113.1465500633,1323113.1465500633,14,37
18,13,2011,2023,227400.37309470243,106283.78762041182,121116.5854742906,53.261383798983815,53.94275889398149,98.95002007157618,2022,720,567,1391,605,0.0,0.0,39.0,False,7,496.02988004490794,396682.87857353204,396682.87857353204,18,1
19,13,2011,2023,273295.6792636981,228668.0027512032,44627.67651249496,16.32944824913771,14.384588598854407,69.86253304671291,2020,262,109,329,112,0.0,0.0,36.0,False,7,433.86175925048747,404214.83336243127,404214.83336243127,26,32
20,13,2011,2023,177981.40422346137,160400.7496962094,17580.654527251976,9.877804146987682,9.668659559810996,43.72013297464033,2021,0,0,83,0,7.498981331838037,7.893659174156124,28.0,False,5,270.9008191041778,409236.13807318325,409236.13807318325,32,38
21,13,2011,2023,323024.2921185294,251223.69295274926,71800.59916578018,22.227615977387213,23.03487553515914,99.99999999999498,2021,153,153,397,153,0.0,3.932768159213059e-14,27.0,False,11,654.5594475581136,394172.2247361882,981664.5910019783,21,18
22,13,2011,2023,102125.67547640216,75588.78751471514,26536.887961687047,25.98454094711847,32.446550796456435,99.99999999991748,2021,737,584,1152,597,0.0,0.0,25.0,False,16,925.2669877830901,394172.2269855382,1109707.801805299,28,8
23,13,2011,2023,851331.2807251518,721519.5940579947,129811.686667157,15.248081399826548,14.299225563492778,99.99999999999608,2021,153,153,254,153,0.0,1.640428704533548e-13,37.0,False,8,483.6783322879794,173234.92754020586,1350730.3107679524,16,34
24,13,2011,2023,176458.1805572772,119741.30777867947,56716.87277859775,32.14182113828824,35.48201033184117,99.99999999999227,2021,405,405,1252,443,0.0,6.584527368742442e-14,26.0,False,8,546.0397319625324,170724.27853797673,1343198.3602517666,24,4
25,13,2011,2023,258611.34302882996,199258.46713095426,59352.87589787574,22.95060812211129,27.77234983871384,70.71946465358089,2020,680,424,977,481,0.0,2.873812299242218e-14,33.0,False,16,967.7432223359499,401704.18460896594,1797626.2159163693,22,13
26,13,2011,2023,285148.8532537317,202949.74133537782,82199.11191835388,28.82673767767578,30.902471700793107,99.99999999999115,2021,153,153,778,153,0.0,1.4050753848200628e-13,27.0,False,4,242.1290844629832,75319.5354052506,1684646.9150082257,19,7
27,13,2011,2023,626472.6464212835,466692.012561216,159780.63386006752,25.504806119279465,26.851861085779024,99.72324226926642,2021,150,150,518,153,1.4565415765549763e-14,2.7511384392066196e-13,28.0,False,8,504.91644956468326,82851.48632940903,2749162.992339613,13,9
28,13,2011,2023,899573.4809380308,707134.9341163457,192438.5468216852,21.39219873634111,22.19519218556388,64.4187658648625,2021,0,0,245,0,14.212148081127713,14.99296533489493,29.0,False,6,341.762230538241,173234.92950894168,3331634.0599217378,12,19
29,13,2011,2023,990822.7052779425,789361.2749644961,201461.43031344653,20.332742602717527,21.01465532364413,66.47371615084403,2021,0,0,155,0,13.197490793516648,14.10997163373505,30.0,False,2,141.72282287053707,22595.86023219582,3610316.335428228,11,21
30,13,2011,2023,1129449.7509557921,911009.1457445602,218440.6052112321,19.340444763158132,20.06215766458727,70.63945888134077,2021,0,0,187,0,9.260411511198708,10.32732382367733,31.0,False,1,70.86141143461126,5021.302404239921,4343426.467929309,10,26
31,13,2011,2023,1290959.3317758278,1001367.3388327885,289591.9929430393,22.43230950929183,23.21964758990186,90.29988157551908,2021,111,111,346,116,2.5376526277146434e-16,2.820262542021131e-13,32.0,False,8,483.8716111678379,138085.8141556785,4772747.813765408,9,17
32,13,2011,2023,1681147.2864980772,1303671.894256129,377475.3922419482,22.453439699995016,23.507877572673603,91.29764766463877,2021,112,112,388,118,8.379371238817633e-14,7.407350684500671e-13,33.0,False,2,120.87126335196169,100426.0452376852,5272367.387711016,8,16
