date,Q_m3d,storage_m3,substeps
2010-10-01,0.0,41225.150003192815,243
2010-10-02,0.0,77835.75028017405,243
2010-10-03,0.0,110454.03949082558,243
2010-10-04,0.0,139613.2932090645,243
2010-10-05,0.0,165778.9409411559,243
2010-10-06,0.0,189357.3594265752,243
2010-10-07,0.0,210691.67359955757,243
2010-10-08,0.0,230074.68375298585,243
2010-10-09,0.0,247755.97515661494,243
2010-10-10,0.0,263947.2240678773,243
2010-10-11,0.0,278829.72676171537,243
2010-10-12,0.0,292547.3707605391,243
2010-10-13,0.0,305228.85170061776,243
2010-10-14,0.0,317002.29459876963,243
2010-10-15,0.0,327966.9742181575,243
2010-10-16,0.0,338207.47853627114,243
2010-10-17,0.0,347796.26107152615,243
2010-10-18,0.0,356796.20702464256,243
2010-10-19,0.0,365262.8817205584,243
2010-10-20,0.0,373244.7653011874,243
2010-10-21,0.0,380784.38403025747,243
2010-10-22,0.0,387919.54002082173,243
2010-10-23,0.0,394683.7861826983,243
2010-10-24,0.0,401106.7069049032,243
2010-10-25,0.0,407214.692020906,243
2010-10-26,0.0,413031.51771721547,243
2010-10-27,0.0,418578.78170813865,243
2010-10-28,0.0,423876.24629299063,243
2010-10-29,0.0,428941.7026471744,243
2010-10-30,0.0,433791.3006749603,243
2010-10-31,0.0,438439.50241745857,243
2010-11-01,0.0,442899.35262853344,243
2010-11-02,0.0,447182.9152469069,243
2010-11-03,0.0,451300.99127013853,243
2010-11-04,0.0,455263.4382888176,243
2010-11-05,0.0,459079.2904270641,243
2010-11-06,0.0,462756.96540666255,243
2010-11-07,0.0,466304.23460793943,243
2010-11-08,0.0,469728.26352511515,243
2010-11-09,0.0,473035.7829275802,243
2010-11-10,0.0,476232.99925370875,243
2010-11-11,0.0,479325.7380744219,243
2010-11-12,0.0,482319.4134122704,243
2010-11-13,0.0,485218.96202369366,243
2010-11-14,0.0,488029.02804922685,243
2010-11-15,0.0,490753.83771282685,243
2010-11-16,0.0,493397.3784316556,243
2010-11-17,0.0,495963.3946856607,243
2010-11-18,0.0,498455.37892177654,243
2010-11-19,0.0,500876.6193596163,243
2010-11-20,0.0,503230.22822501074,243
2010-11-21,0.0,505519.10143882985,243
2010-11-22,1045.9368374273472,602223.1609547938,239
2010-11-23,0.0,602710.3414432155,242
2010-11-24,0.0,603443.6811529829,243
2010-11-25,0.0,604238.2953308084,243
2010-11-26,8281.559625765309,815652.9915566274,235
2010-11-27,5866.495739817314,860905.8425123928,240
2010-11-28,3957.8211795544485,856948.0213328383,242
2010-11-29,3229.1900006046053,853718.8313322337,243
2010-11-30,2812.032843155088,850906.7984890786,243
2010-12-01,2503.688827710459,848403.1096613682,243
2010-12-02,3988.3975913166432,883461.5232732294,241
2010-12-03,3004.4770749047743,880999.2648968409,243
2010-12-04,4774.52723187775,922716.1470416244,241
2010-12-05,40305.52104490792,1381626.015886908,229
2010-12-06,15266.093977744458,1366359.9219091635,241
2010-12-07,42828.028128163016,1613030.7069283384,233
2010-12-08,38131.42442543359,1731348.210481288,236
2010-12-09,26601.86167563928,1756284.355870002,239
2010-12-10,20205.585976942555,1736740.9905422633,242
2010-12-11,18380.5085032708,1718360.4820389925,242
2010-12-12,17398.204713463783,1700962.2773255287,243
2010-12-13,38112.55983902095,1861982.27568707,235
2010-12-14,22666.91387517596,1841414.620847147,242
2010-12-15,20583.191013796488,1820831.4298333505,242
2010-12-16,24587.0329815987,1848047.4587319791,240
2010-12-17,92008.4784658309,2207156.686091997,230
2010-12-18,135059.03716935473,2540077.7284136843,229
2010-12-19,105624.49397888943,2687988.4453191757,233
2010-12-20,65469.75327491468,2682606.341930779,238
2010-12-21,198880.98518234747,3039223.332901004,228
2010-12-22,70333.34480891188,2971829.8279192345,240
2010-12-23,61868.43937375676,2909961.3885454778,242
2010-12-24,56572.79191644117,2853388.5966290366,242
2010-12-25,198243.91350387502,3197838.881773901,228
2010-12-26,89840.56888757844,3171837.0224028453,238
2010-12-27,68756.82909218696,3104276.92997073,241
2010-12-28,456799.9773996046,3757876.4158531157,237
2010-12-29,103342.49763589725,3654533.9182172185,240
2010-12-30,90551.0881067682,3563982.8301104503,241
