date,Q_m3d,storage_m3,substeps
2010-10-01,0.0,41166.293130931124,243
2010-10-02,0.0,77723.4094537777,243
2010-10-03,0.0,110290.5708975411,243
2010-10-04,0.0,139403.12863751262,243
2010-10-05,0.0,165525.75373186017,243
2010-10-06,0.0,189061.69356096358,243
2010-10-07,0.0,210351.95332622537,243
2010-10-08,0.0,229690.34069559717,243
2010-10-09,0.0,247327.22438400835,243
2010-10-10,0.0,263475.82910899236,243
2010-10-11,0.0,278317.27561796416,243
2010-10-12,0.0,291995.29874417896,243
2010-10-13,0.0,304638.4763559792,243
2010-10-14,0.0,316375.0258777102,243
2010-10-15,0.0,327304.14707951574,243
2010-10-16,0.0,337509.94773077697,243
2010-10-17,0.0,347064.79853896995,243
2010-10-18,0.0,356031.40865222504,243
2010-10-19,0.0,364465.5140861674,243
2010-10-20,0.0,372415.5748680966,243
2010-10-21,0.0,379924.05423093133,243
2010-10-22,0.0,387028.7739628524,243
2010-10-23,0.0,393763.31352508743,243
2010-10-24,0.0,400157.2384196945,243
2010-10-25,0.0,406236.9907269114,243
2010-10-26,0.0,412026.17357679363,243
2010-10-27,0.0,417546.21420142875,243
2010-10-28,0.0,422817.05893114116,243
2010-10-29,0.0,427856.59609218047,243
2010-10-30,0.0,432680.92594431515,243
2010-10-31,0.0,437304.4702331222,243
2010-11-01,0.0,441790.39187895425,243
2010-11-02,0.0,446097.13855790865,243
2010-11-03,0.0,450236.04907543905,243
2010-11-04,0.0,454217.3393137072,243
2010-11-05,0.0,458050.3072753879,243
2010-11-06,0.0,461743.3624800426,243
2010-11-07,0.0,465304.61947253416,243
2010-11-08,0.0,468741.4484655005,243
2010-11-09,0.0,472060.67912926077,243
2010-11-10,0.0,475268.564900652,243
2010-11-11,0.0,478371.01027626183,243
2010-11-12,0.0,481373.5222123893,243
2010-11-13,0.0,484281.1493651293,243
2010-11-14,0.0,487098.64494592696,243
2010-11-15,0.0,489830.2997646765,243
2010-11-16,0.0,492480.1625135853,243
2010-11-17,0.0,495052.0601260859,243
2010-11-18,0.0,497549.52535376325,243
2010-11-19,0.0,499975.8305488354,243
2010-11-20,0.0,502334.09895694203,243
2010-11-21,0.0,504627.2890312127,243
2010-11-22,1006.2860526879667,601207.886772098,239
2010-11-23,0.0,601565.7852854694,242
2010-11-24,0.0,602170.7759016412,243
2010-11-25,0.0,602838.5537952391,243
2010-11-26,8197.386869624344,814174.3102173811,235
2010-11-27,5815.119831287193,859315.4245218586,240
2010-11-28,3912.963045398902,855239.3489166417,242
