recharge_mm_day,recharge_m3d,pumping_m3d,groundwater_to_stream_m3d,groundwater_discharge_m3d,stream_loss_to_groundwater_m3d,saturation_excess_m3d,landlab_saturation_excess_m3d,landlab_surface_flux_integration_error_m3d,total_streamflow_m3d,Q_m3d,storage_m3,storage_change_m3,mass_balance_streamflow_m3d,mass_balance_error_m3d,mass_balance_error_pct,streamflow_availability_roundoff_m3d,substeps,pumping_chunks,unavailable_stream_loss_m3d,stream_limiter_substeps,stream_limiter_max_iterations_used,stream_limiter_max_dry_reaches,stream_limiter_numerical_clip_m3,date,initial_storage_m3,scheduled_pumping_m3d
0.0,0.0,0.0,-1.4661934039919208e-08,0.0,1.4661934039919208e-08,1.4677411500567036e-08,1.465568784748005e-08,-2.1723653086985653e-11,1.547746064782677e-11,1.547746064782677e-11,6522.536169582416,-3.47533386957366e-07,3.47533386957366e-07,3.475179094967182e-07,3.475179094967182e-05,2.1722787638917565e-11,243,1,41910.25278549993,243,2,38,1.2657791311085085e-08,2008-10-01,6522.536169929949,0.0
0.0,0.0,0.0,-1.377298400112234e-08,0.0,1.377298400112234e-08,1.3785020573001431e-08,1.3754523800731683e-08,-3.049677226974817e-11,1.2036571879090864e-11,1.2036571879090864e-11,6522.536169324243,-2.581728040240705e-07,2.581728040240705e-07,2.581607674521914e-07,2.581607674521914e-05,3.0497767553634874e-11,243,1,41886.64354911841,243,2,38,1.1944094497442405e-08,2008-10-02,6522.536169929949,0.0
0.0,0.0,0.0,-1.3119710491399025e-08,0.0,1.3119710491399025e-08,1.312230005046706e-08,1.3105457616080174e-08,-1.684243438688619e-11,2.5895590680345285e-12,2.5895590680345285e-12,6522.536169110199,-2.1404412109404802e-07,2.1404412109404802e-07,2.1404153153498e-07,2.1404153153498e-05,1.6842904996992985e-11,243,1,41875.516463005835,243,2,38,1.1399086318182806e-08,2008-10-03,6522.536169929949,0.0
0.0,0.0,0.0,-1.2545720493939774e-08,0.0,1.2545720493939774e-08,1.2548476278715239e-08,1.2527204488369461e-08,-2.1271790345777814e-11,2.755784775465243e-12,2.755784775465243e-12,6522.536168951447,-1.5875230019446462e-07,1.5875230019446462e-07,1.5874954440968917e-07,1.5874954440968917e-05,2.127231491895577e-11,243,1,41867.816995521884,243,2,38,1.0884910542169208e-08,2008-10-04,6522.536169929949,0.0
0.0,0.0,0.0,-1.200049953398001e-08,0.0,1.200049953398001e-08,1.2003112190647002e-08,1.1973360294500273e-08,-2.975189614672926e-11,2.612656666990857e-12,2.612656666990857e-12,6522.53616883811,-1.1333668226143345e-07,1.1333668226143345e-07,1.1333406960476646e-07,1.1333406960476646e-05,2.9751521765296206e-11,243,1,41860.67346780315,243,2,38,1.0403777856113332e-08,2008-10-05,6522.536169929949,0.0
0.0,0.0,0.0,-1.1559163601770547e-08,0.0,1.1559163601770547e-08,1.1579240414797837e-08,1.1558634057306798e-08,-2.0606357491038688e-11,2.007681302729047e-11,2.007681302729047e-11,6522.536168760566,-7.754351827315986e-08,7.754351827315986e-08,7.752344146013257e-08,7.752344146013256e-06,2.0606287167976342e-11,243,1,41854.005886295054,243,2,38,1.0014078442853562e-08,2008-10-06,6522.536169929949,0.0
0.0,0.0,0.0,-1.1133204120975307e-08,0.0,1.1133204120975307e-08,1.114266427836849e-08,1.1115794624163808e-08,-2.6869654204682948e-11,9.460157393184493e-12,9.460157393184493e-12,6522.536168710593,-4.9973095883615315e-08,4.9973095883615315e-08,4.996363572622213e-08,4.996363572622213e-06,2.686919798448317e-11,243,1,41847.74394167231,243,2,38,9.674499071922381e-09,2008-10-07,6522.536169929949,0.0
0.0,0.0,0.0,-1.074701885274941e-08,0.0,1.074701885274941e-08,1.075631873257634e-08,1.0735984704376253e-08,-2.0334028200087695e-11,9.299879826931012e-12,9.299879826931012e-12,6522.536168680981,-2.961223799502477e-08,2.961223799502477e-08,2.9602938115197838e-08,2.960293811519784e-06,2.0335023127875073e-11,243,1,41841.83043866012,243,2,38,9.298497262727792e-09,2008-10-08,6522.536169929949,0.0
0.0,0.0,0.0,-1.0282080102489224e-08,0.0,1.0282080102489224e-08,1.0283063044355379e-08,1.026695268181492e-08,-1.6110362540457994e-11,9.829418661549275e-13,9.829418661549275e-13,6522.5361686659635,-1.501757651567459e-08,1.501757651567459e-08,1.5016593573808435e-08,1.5016593573808436e-06,1.6109722851844092e-11,243,1,41836.21976019277,243,2,38,8.921024110118356e-09,2008-10-09,6522.536169929949,0.0
0.0,0.0,0.0,-1.001982115876078e-08,0.0,1.001982115876078e-08,1.0029859815259993e-08,1.0013445656563594e-08,-1.6414158696398376e-11,1.0038656499212068e-11,1.0038656499212068e-11,6522.536168660881,-5.082256393507123e-09,5.082256393507123e-09,5.072217737007911e-09,5.072217737007911e-07,1.641373228336293e-11,243,1,41830.88322351661,243,2,38,8.690326037540902e-09,2008-10-10,6522.536169929949,0.0
0.0,0.0,0.0,-9.684822575796361e-09,0.0,9.684822575796361e-09,9.694824252641467e-09,9.665696171657031e-09,-2.9128080984435515e-11,1.0001676845105819e-11,1.0001676845105819e-11,6522.536168661769,8.87666828930378e-10,-8.87666828930378e-10,-8.976685057754838e-10,-8.976685057754838e-08,2.9128017370600534e-11,243,1,41825.83282254077,243,2,38,8.457766235340438e-09,2008-10-11,6522.536169929949,0.0
